date,value
1878-01-01,
1878-02-01,
1878-03-01,
1878-04-01,
1878-05-01,
1878-06-01,0.176
1878-07-01,0.179
1878-08-01,0.181
1878-09-01,0.184
1878-10-01,0.189
1878-11-01,0.192
1878-12-01,0.195
1879-01-01,0.198
1879-02-01,0.201
1879-03-01,0.204
1879-04-01,0.206
1879-05-01,0.208
1879-06-01,0.21
1879-07-01,0.212
1879-08-01,0.221
1879-09-01,0.251
1879-10-01,0.273
1879-11-01,0.293
1879-12-01,0.302
1880-01-01,0.305
1880-02-01,0.307
1880-03-01,0.308
1880-04-01,0.311
1880-05-01,0.313
1880-06-01,0.316
1880-07-01,0.318
1880-08-01,0.33
1880-09-01,0.351
1880-10-01,0.369
1880-11-01,0.38
1880-12-01,0.399
1881-01-01,0.406
1881-02-01,0.408
1881-03-01,0.418
1881-04-01,0.435
1881-05-01,0.437
1881-06-01,0.439
1881-07-01,0.442
1881-08-01,0.449
1881-09-01,0.462
1881-10-01,0.472
1881-11-01,0.476
1881-12-01,0.481
1882-01-01,0.484
1882-02-01,0.479
1882-03-01,0.478
1882-04-01,0.478
1882-05-01,0.467
1882-06-01,0.463
1882-07-01,0.461
1882-08-01,0.462
1882-09-01,0.464
1882-10-01,0.471
1882-11-01,0.474
1882-12-01,0.479
1883-01-01,0.482
1883-02-01,0.484
1883-03-01,0.49
1883-04-01,0.493
1883-05-01,0.494
1883-06-01,0.497
1883-07-01,0.498
1883-08-01,0.501
1883-09-01,0.505
1883-10-01,0.511
1883-11-01,0.517
1883-12-01,0.519
1884-01-01,0.521
1884-02-01,0.52
1884-03-01,0.51
1884-04-01,0.494
1884-05-01,0.495
1884-06-01,0.499
1884-07-01,0.502
1884-08-01,0.506
1884-09-01,0.51
1884-10-01,0.514
1884-11-01,0.524
1884-12-01,0.528
1885-01-01,0.531
1885-02-01,0.533
1885-03-01,0.536
1885-04-01,0.538
1885-05-01,0.539
1885-06-01,0.541
1885-07-01,0.541
1885-08-01,0.543
1885-09-01,0.548
1885-10-01,0.551
1885-11-01,0.558
1885-12-01,0.564
1886-01-01,0.565
1886-02-01,0.561
1886-03-01,0.554
1886-04-01,0.552
1886-05-01,0.547
1886-06-01,0.541
1886-07-01,0.542
1886-08-01,0.549
1886-09-01,0.556
1886-10-01,0.564
1886-11-01,0.575
1886-12-01,0.588
1887-01-01,0.594
1887-02-01,0.595
1887-03-01,0.596
1887-04-01,0.598
1887-05-01,0.602
1887-06-01,0.601
1887-07-01,0.605
1887-08-01,0.61
1887-09-01,0.628
1887-10-01,0.64
1887-11-01,0.644
1887-12-01,0.65
1888-01-01,0.651
1888-02-01,0.653
1888-03-01,0.654
1888-04-01,0.656
1888-05-01,0.651
1888-06-01,0.651
1888-07-01,0.65
1888-08-01,0.652
1888-09-01,0.655
1888-10-01,0.657
1888-11-01,0.655
1888-12-01,0.65
1889-01-01,0.651
1889-02-01,0.651
1889-03-01,0.65
1889-04-01,0.651
1889-05-01,0.643
1889-06-01,0.625
1889-07-01,0.621
1889-08-01,0.625
1889-09-01,0.627
1889-10-01,0.629
1889-11-01,0.631
1889-12-01,0.635
1890-01-01,0.636
1890-02-01,0.637
1890-03-01,0.638
1890-04-01,0.639
1890-05-01,0.641
1890-06-01,0.64
1890-07-01,0.636
1890-08-01,0.633
1890-09-01,0.637
1890-10-01,0.638
1890-11-01,0.642
1890-12-01,0.647
1891-01-01,0.649
1891-02-01,0.648
1891-03-01,0.643
1891-04-01,0.63
1891-05-01,0.602
1891-06-01,0.587
1891-07-01,0.584
1891-08-01,0.586
1891-09-01,0.591
1891-10-01,0.609
1891-11-01,0.616
1891-12-01,0.624
1892-01-01,0.628
1892-02-01,0.626
1892-03-01,0.624
1892-04-01,0.616
1892-05-01,0.615
1892-06-01,0.598
1892-07-01,0.592
1892-08-01,0.588
1892-09-01,0.585
1892-10-01,0.589
1892-11-01,0.59
1892-12-01,0.583
1893-01-01,0.572
1893-02-01,0.557
1893-03-01,0.556
1893-04-01,0.542
1893-05-01,0.532
1893-06-01,0.519
1893-07-01,0.53
1893-08-01,0.571
1893-09-01,0.582
1893-10-01,0.585
1893-11-01,0.589
1893-12-01,0.589
1894-01-01,0.591
1894-02-01,0.595
1894-03-01,0.593
1894-04-01,0.588
1894-05-01,0.564
1894-06-01,0.547
1894-07-01,0.538
1894-08-01,0.535
1894-09-01,0.541
1894-10-01,0.542
1894-11-01,0.546
1894-12-01,0.54
1895-01-01,0.518
1895-02-01,0.521
1895-03-01,0.532
1895-04-01,0.535
1895-05-01,0.543
1895-06-01,0.547
1895-07-01,0.551
1895-08-01,0.539
1895-09-01,0.522
1895-10-01,0.527
1895-11-01,0.518
1895-12-01,0.505
1896-01-01,0.505
1896-02-01,0.518
1896-03-01,0.522
1896-04-01,0.526
1896-05-01,0.509
1896-06-01,0.502
1896-07-01,0.496
1896-08-01,0.504
1896-09-01,0.541
1896-10-01,0.57
1896-11-01,0.583
1896-12-01,0.589
1897-01-01,0.594
1897-02-01,0.599
1897-03-01,0.601
1897-04-01,0.603
1897-05-01,0.597
1897-06-01,0.591
1897-07-01,0.591
1897-08-01,0.597
1897-09-01,0.607
1897-10-01,0.623
1897-11-01,0.632
1897-12-01,0.638
1898-01-01,0.644
1898-02-01,0.65
1898-03-01,0.684
1898-04-01,0.725
1898-05-01,0.747
1898-06-01,0.754
1898-07-01,0.759
1898-08-01,0.772
1898-09-01,0.789
1898-10-01,0.812
1898-11-01,0.823
1898-12-01,0.836
1899-01-01,0.845
1899-02-01,0.851
1899-03-01,0.858
1899-04-01,0.864
1899-05-01,0.869
1899-06-01,0.859
1899-07-01,0.861
1899-08-01,0.873
1899-09-01,0.882
1899-10-01,0.896
1899-11-01,0.899
1899-12-01,0.897
1900-01-01,0.904
1900-02-01,0.906
1900-03-01,0.914
1900-04-01,0.924
1900-05-01,0.922
1900-06-01,0.916
1900-07-01,0.933
1900-08-01,0.928
1900-09-01,0.938
1900-10-01,0.959
1900-11-01,0.977
1900-12-01,0.987
1901-01-01,0.99
1901-02-01,0.995
1901-03-01,1.001
1901-04-01,1.006
1901-05-01,1.001
1901-06-01,1.001
1901-07-01,1.012
1901-08-01,1.024
1901-09-01,1.036
1901-10-01,1.05
1901-11-01,1.047
1901-12-01,1.051
1902-01-01,1.056
1902-02-01,1.053
1902-03-01,1.053
1902-04-01,1.058
1902-05-01,1.059
1902-06-01,1.067
1902-07-01,1.068
1902-08-01,1.078
1902-09-01,1.089
1902-10-01,1.104
1902-11-01,1.115
1902-12-01,1.12
1903-01-01,1.126
1903-02-01,1.131
1903-03-01,1.135
1903-04-01,1.14
1903-05-01,1.134
1903-06-01,1.122
1903-07-01,1.128
1903-08-01,1.14
1903-09-01,1.149
1903-10-01,1.154
1903-11-01,1.17
1903-12-01,1.187
1904-01-01,1.199
1904-02-01,1.209
1904-03-01,1.22
1904-04-01,1.223
1904-05-01,1.184
1904-06-01,1.198
1904-07-01,1.212
1904-08-01,1.22
1904-09-01,1.221
1904-10-01,1.232
1904-11-01,1.22
1904-12-01,1.215
1905-01-01,1.21
1905-02-01,1.2
1905-03-01,1.206
1905-04-01,1.212
1905-05-01,1.22
1905-06-01,1.226
1905-07-01,1.236
1905-08-01,1.248
1905-09-01,1.255
1905-10-01,1.272
1905-11-01,1.279
1905-12-01,1.287
1906-01-01,1.29
1906-02-01,1.284
1906-03-01,1.284
1906-04-01,1.299
1906-05-01,1.333
1906-06-01,1.342
1906-07-01,1.362
1906-08-01,1.374
1906-09-01,1.406
1906-10-01,1.432
1906-11-01,1.442
1906-12-01,1.452
1907-01-01,1.463
1907-02-01,1.47
1907-03-01,1.476
1907-04-01,1.483
1907-05-01,1.484
1907-06-01,1.466
1907-07-01,1.474
1907-08-01,1.473
1907-09-01,1.483
1907-10-01,1.49
1907-11-01,1.562
1907-12-01,1.605
1908-01-01,1.629
1908-02-01,1.636
1908-03-01,1.643
1908-04-01,1.639
1908-05-01,1.616
1908-06-01,1.618
1908-07-01,1.63
1908-08-01,1.642
1908-09-01,1.644
1908-10-01,1.649
1908-11-01,1.659
1908-12-01,1.654
1909-01-01,1.649
1909-02-01,1.657
1909-03-01,1.645
1909-04-01,1.649
1909-05-01,1.645
1909-06-01,1.642
1909-07-01,1.638
1909-08-01,1.636
1909-09-01,1.647
1909-10-01,1.649
1909-11-01,1.645
1909-12-01,1.638
1910-01-01,1.64
1910-02-01,1.642
1910-03-01,1.649
1910-04-01,1.621
1910-05-01,1.627
1910-06-01,1.636
1910-07-01,1.652
1910-08-01,1.676
1910-09-01,1.683
1910-10-01,1.693
1910-11-01,1.701
1910-12-01,1.709
1911-01-01,1.719
1911-02-01,1.73
1911-03-01,1.738
1911-04-01,1.745
1911-05-01,1.753
1911-06-01,1.753
1911-07-01,1.764
1911-08-01,1.775
1911-09-01,1.783
1911-10-01,1.792
1911-11-01,1.798
1911-12-01,1.797
1912-01-01,1.803
1912-02-01,1.795
1912-03-01,1.798
1912-04-01,1.811
1912-05-01,1.813
1912-06-01,1.818
1912-07-01,1.824
1912-08-01,1.832
1912-09-01,1.841
1912-10-01,1.857
1912-11-01,1.867
1912-12-01,1.879
1913-01-01,1.876
1913-02-01,1.867
1913-03-01,1.859
1913-04-01,1.867
1913-05-01,1.861
1913-06-01,1.871
1913-07-01,1.873
1913-08-01,1.881
1913-09-01,1.895
1913-10-01,1.902
1913-11-01,1.917
1913-12-01,1.924
1914-01-01,1.64
1914-02-01,1.63
1914-03-01,1.64
1914-04-01,1.66
1914-05-01,1.64
1914-06-01,1.6
1914-07-01,1.57
1914-08-01,1.57
1914-09-01,1.56
1914-10-01,1.52
1914-11-01,1.52
1914-12-01,1.53
1915-01-01,1.54
1915-02-01,1.55
1915-03-01,1.58
1915-04-01,1.61
1915-05-01,1.64
1915-06-01,1.7
1915-07-01,1.72
1915-08-01,1.79
1915-09-01,1.84
1915-10-01,1.91
1915-11-01,1.97
1915-12-01,2.02
1916-01-01,2.04
1916-02-01,2.04
1916-03-01,2.04
1916-04-01,2.03
1916-05-01,2.05
1916-06-01,2.16
1916-07-01,2.22
1916-08-01,2.26
1916-09-01,2.34
1916-10-01,2.43
1916-11-01,2.45
1916-12-01,2.56
1917-01-01,2.64
1917-02-01,2.71
1917-03-01,2.82
1917-04-01,2.85
1917-05-01,2.85
1917-06-01,2.93
1917-07-01,2.9
1917-08-01,2.88
1917-09-01,2.86
1917-10-01,2.87
1917-11-01,2.87
1917-12-01,2.87
1918-01-01,2.86
1918-02-01,2.87
1918-03-01,2.88
1918-04-01,2.88
1918-05-01,2.88
1918-06-01,2.88
1918-07-01,2.87
1918-08-01,2.87
1918-09-01,2.87
1918-10-01,2.86
1918-11-01,2.87
1918-12-01,2.87
1919-01-01,2.87
1919-02-01,2.88
1919-03-01,2.87
1919-04-01,2.88
1919-05-01,2.89
1919-06-01,2.88
1919-07-01,2.8
1919-08-01,2.83
1919-09-01,2.86
1919-10-01,2.83
1919-11-01,2.78
1919-12-01,2.73
1920-01-01,2.67
1920-02-01,2.62
1920-03-01,2.57
1920-04-01,2.53
1920-05-01,2.55
1920-06-01,2.57
1920-07-01,2.58
1920-08-01,2.57
1920-09-01,2.56
1920-10-01,2.57
1920-11-01,2.59
1920-12-01,2.61
1921-01-01,2.64
1921-02-01,2.69
1921-03-01,2.75
1921-04-01,2.83
1921-05-01,2.91
1921-06-01,2.97
1921-07-01,3.02
1921-08-01,3.1
1921-09-01,3.19
1921-10-01,3.26
1921-11-01,3.31
1921-12-01,3.36
1922-01-01,3.38
1922-02-01,3.42
1922-03-01,3.45
1922-04-01,3.47
1922-05-01,3.48
1922-06-01,3.49
1922-07-01,3.52
1922-08-01,3.55
1922-09-01,3.57
1922-10-01,3.6
1922-11-01,3.61
1922-12-01,3.63
1923-01-01,3.66
1923-02-01,3.67
1923-03-01,3.68
1923-04-01,3.69
1923-05-01,3.71
1923-06-01,3.75
1923-07-01,3.77
1923-08-01,3.81
1923-09-01,3.84
1923-10-01,3.87
1923-11-01,3.9
1923-12-01,3.94
1924-01-01,3.98
1924-02-01,4.02
1924-03-01,4.05
1924-04-01,4.1
1924-05-01,4.15
1924-06-01,4.18
1924-07-01,4.22
1924-08-01,4.23
1924-09-01,4.23
1924-10-01,4.22
1924-11-01,4.23
1924-12-01,4.22
1925-01-01,4.18
1925-02-01,4.1
1925-03-01,4.05
1925-04-01,4.05
1925-05-01,4.07
1925-06-01,4.07
1925-07-01,4.07
1925-08-01,4.08
1925-09-01,4.1
1925-10-01,4.1
1925-11-01,4.12
1925-12-01,4.11
1926-01-01,4.12
1926-02-01,4.14
1926-03-01,4.16
1926-04-01,4.16
1926-05-01,4.15
1926-06-01,4.15
1926-07-01,4.17
1926-08-01,4.18
1926-09-01,4.18
1926-10-01,4.18
1926-11-01,4.19
1926-12-01,4.19
1927-01-01,4.24
1927-02-01,4.29
1927-03-01,4.31
1927-04-01,4.31
1927-05-01,4.36
1927-06-01,4.32
1927-07-01,4.29
1927-08-01,4.3
1927-09-01,4.3
1927-10-01,4.28
1927-11-01,4.2
1927-12-01,4.13
1928-01-01,4.09
1928-02-01,4.09
1928-03-01,4.05
1928-04-01,4.0
1928-05-01,3.92
1928-06-01,3.83
1928-07-01,3.83
1928-08-01,3.83
1928-09-01,3.84
1928-10-01,3.85
1928-11-01,3.86
1928-12-01,3.86
1929-01-01,3.83
1929-02-01,3.86
1929-03-01,3.88
1929-04-01,3.94
1929-05-01,4.0
1929-06-01,4.02
1929-07-01,4.05
1929-08-01,4.06
1929-09-01,4.08
1929-10-01,4.09
1929-11-01,4.09
1929-12-01,4.04
1930-01-01,4.0
1930-02-01,4.03
1930-03-01,4.11
1930-04-01,4.16
1930-05-01,4.22
1930-06-01,4.24
1930-07-01,4.24
1930-08-01,4.21
1930-09-01,4.22
1930-10-01,4.23
1930-11-01,4.27
1930-12-01,4.3
1931-01-01,4.34
1931-02-01,4.37
1931-03-01,4.4
1931-04-01,4.42
1931-05-01,4.48
1931-06-01,4.58
1931-07-01,4.67
1931-08-01,4.69
1931-09-01,4.66
1931-10-01,4.16
1931-11-01,4.08
1931-12-01,4.16
1932-01-01,4.16
1932-02-01,4.1
1932-03-01,4.08
1932-04-01,4.09
1932-05-01,3.99
1932-06-01,3.67
1932-07-01,3.65
1932-08-01,3.74
1932-09-01,3.85
1932-10-01,3.94
1932-11-01,4.0
1932-12-01,4.14
1933-01-01,4.26
1933-02-01,4.2
1933-03-01,3.97
1933-04-01,4.01
1933-05-01,4.03
1933-06-01,4.03
1933-07-01,4.03
1933-08-01,4.04
1933-09-01,4.04
1933-10-01,4.04
1933-11-01,4.04
1933-12-01,4.04
1934-01-01,4.04
1934-02-01,7.14
1934-03-01,7.6
1934-04-01,7.74
1934-05-01,7.76
1934-06-01,7.82
1934-07-01,7.89
1934-08-01,7.97
1934-09-01,7.97
1934-10-01,7.99
1934-11-01,8.05
1934-12-01,8.19
1935-01-01,8.28
1935-02-01,8.46
1935-03-01,8.55
1935-04-01,8.64
1935-05-01,8.76
1935-06-01,9.02
1935-07-01,9.13
1935-08-01,9.18
1935-09-01,9.25
1935-10-01,9.54
1935-11-01,9.78
1935-12-01,10.07
1936-01-01,10.16
1936-02-01,10.16
1936-03-01,10.17
1936-04-01,10.2
1936-05-01,10.32
1936-06-01,10.51
1936-07-01,10.63
1936-08-01,10.67
1936-09-01,10.76
1936-10-01,10.98
1936-11-01,11.12
1936-12-01,11.22
1937-01-01,11.31
1937-02-01,11.4
1937-03-01,11.5
1937-04-01,11.69
1937-05-01,11.9
1937-06-01,12.19
1937-07-01,12.4
1937-08-01,12.51
1937-09-01,12.65
1937-10-01,12.78
1937-11-01,12.79
1937-12-01,12.76
1938-01-01,12.76
1938-02-01,12.77
1938-03-01,12.78
1938-04-01,12.83
1938-05-01,12.89
1938-06-01,12.95
1938-07-01,12.98
1938-08-01,13.06
1938-09-01,13.44
1938-10-01,13.94
1938-11-01,14.16
1938-12-01,14.42
1939-01-01,14.6
1939-02-01,14.78
1939-03-01,15.01
1939-04-01,15.51
1939-05-01,15.88
1939-06-01,16.03
1939-07-01,16.18
1939-08-01,16.39
1939-09-01,16.82
1939-10-01,17.0
1939-11-01,17.22
1939-12-01,17.52
1940-01-01,17.8
1940-02-01,18.06
1940-03-01,18.31
1940-04-01,18.61
1940-05-01,18.97
1940-06-01,19.56
1940-07-01,20.26
1940-08-01,20.72
1940-09-01,21.06
1940-10-01,21.39
1940-11-01,21.66
1940-12-01,21.89
1941-01-01,22.06
1941-02-01,22.14
1941-03-01,22.32
1941-04-01,22.44
1941-05-01,22.55
1941-06-01,22.6
1941-07-01,22.65
1941-08-01,22.7
1941-09-01,22.74
1941-10-01,22.78
1941-11-01,22.79
1941-12-01,22.76
1942-01-01,22.74
1942-02-01,22.73
1942-03-01,22.7
1942-04-01,22.68
1942-05-01,22.71
1942-06-01,22.72
1942-07-01,22.74
1942-08-01,22.74
1942-09-01,22.75
1942-10-01,22.75
1942-11-01,22.74
1942-12-01,22.74
1943-01-01,22.71
1943-02-01,22.65
1943-03-01,22.62
1943-04-01,22.51
1943-05-01,22.45
1943-06-01,22.41
1943-07-01,22.36
1943-08-01,22.3
1943-09-01,22.21
1943-10-01,22.14
1943-11-01,22.09
1943-12-01,22.02
1944-01-01,21.93
1944-02-01,21.8
1944-03-01,21.64
1944-04-01,21.49
1944-05-01,21.34
1944-06-01,21.21
1944-07-01,21.08
1944-08-01,20.98
1944-09-01,20.87
1944-10-01,20.75
1944-11-01,20.71
1944-12-01,20.66
1945-01-01,20.58
1945-02-01,20.52
1945-03-01,20.45
1945-04-01,20.4
1945-05-01,20.32
1945-06-01,20.26
1945-07-01,20.2
1945-08-01,20.12
1945-09-01,20.09
1945-10-01,20.05
1945-11-01,20.03
1945-12-01,20.05
1946-01-01,20.11
1946-02-01,20.2
1946-03-01,20.24
1946-04-01,20.25
1946-05-01,20.25
1946-06-01,20.27
1946-07-01,20.27
1946-08-01,20.27
1946-09-01,20.29
1946-10-01,20.33
1946-11-01,20.44
1946-12-01,20.49
1947-01-01,20624.0
1947-02-01,20726.0
1947-03-01,20406.0
1947-04-01,20586.0
1947-05-01,20865.0
1947-06-01,21092.0
1947-07-01,21399.0
1947-08-01,21648.0
1947-09-01,21866.0
1947-10-01,22149.0
1947-11-01,22479.0
1947-12-01,22712.0
1948-01-01,22816.0
1948-02-01,22967.0
1948-03-01,23103.0
1948-04-01,23154.0
1948-05-01,23243.0
1948-06-01,23457.0
1948-07-01,23615.0
1948-08-01,23700.0
1948-09-01,23829.0
1948-10-01,23958.0
1948-11-01,24110.0
1948-12-01,24218.0
1949-01-01,24259.0
1949-02-01,24283.0
1949-03-01,24301.0
1949-04-01,24322.0
1949-05-01,24304.0
1949-06-01,24404.0
1949-07-01,24502.0
1949-08-01,24588.0
1949-09-01,24637.0
1949-10-01,24596.0
1949-11-01,24533.0
1949-12-01,24451.0
1950-01-01,24420.0
1950-02-01,24346.0
1950-03-01,24311.0
1950-04-01,24247.0
1950-05-01,24236.0
1950-06-01,24231.0
1950-07-01,24192.0
1950-08-01,23927.0
1950-09-01,23560.0
1950-10-01,23366.0
1950-11-01,23157.0
1950-12-01,22879.0
1951-01-01,22523.0
1951-02-01,22249.0
1951-03-01,21909.0
1951-04-01,21806.0
1951-05-01,21757.0
1951-06-01,21755.0
1951-07-01,21757.0
1951-08-01,21790.0
1951-09-01,21906.0
1951-10-01,22104.0
1951-11-01,22298.0
1951-12-01,22483.0
1952-01-01,22824.0
1952-02-01,23039.0
1952-03-01,23278.0
1952-04-01,23293.0
1952-05-01,23297.0
1952-06-01,23308.0
1952-07-01,23348.0
1952-08-01,23346.0
1952-09-01,23343.0
1952-10-01,23340.0
1952-11-01,23338.0
1952-12-01,23276.0
1953-01-01,23101.0
1953-02-01,22797.0
1953-03-01,22606.0
1953-04-01,22562.0
1953-05-01,22557.0
1953-06-01,22514.0
1953-07-01,22366.0
1953-08-01,22226.0
1953-09-01,22176.0
1953-10-01,22102.0
1953-11-01,22057.0
1953-12-01,22028.0
1954-01-01,22015.0
1954-02-01,21957.0
1954-03-01,21963.0
1954-04-01,21966.0
1954-05-01,21971.0
1954-06-01,21927.0
1954-07-01,21926.0
1954-08-01,21871.0
1954-09-01,21809.0
1954-10-01,21787.0
1954-11-01,21724.0
1954-12-01,21711.0
1955-01-01,21714.0
1955-02-01,21715.0
1955-03-01,21718.0
1955-04-01,21680.0
1955-05-01,21673.0
1955-06-01,21676.0
1955-07-01,21680.0
1955-08-01,21682.0
1955-09-01,21682.0
1955-10-01,21685.0
1955-11-01,21687.0
1955-12-01,21689.0
1956-01-01,21692.0
1956-02-01,21694.0
1956-03-01,21711.0
1956-04-01,21735.0
1956-05-01,21768.0
1956-06-01,21795.0
1956-07-01,21826.0
1956-08-01,21855.0
1956-09-01,21880.0
1956-10-01,21906.0
1956-11-01,21910.0
1956-12-01,21942.0
1957-01-01,21989.0
1957-02-01,22279.0
1957-03-01,22305.0
1957-04-01,22313.0
1957-05-01,22358.0
1957-06-01,22621.0
1957-07-01,22625.0
1957-08-01,22626.0
1957-09-01,22627.0
1957-10-01,22660.0
1957-11-01,22743.0
1957-12-01,22769.0
1958-01-01,22782.0
1958-02-01,22759.0
1958-03-01,22548.0
1958-04-01,22166.0
1958-05-01,21801.0
1958-06-01,21490.0
1958-07-01,21285.0
1958-08-01,21112.0
1958-09-01,20940.0
1958-10-01,20750.0
1958-11-01,20648.0
1958-12-01,20563.0
1959-01-01,20518.0
1959-02-01,20475.0
1959-03-01,20448.0
1959-04-01,20403.0
1959-05-01,20217.0
1959-06-01,20030.0
1959-07-01,19674.0
1959-08-01,19596.0
1959-09-01,19514.0
1959-10-01,19498.0
1959-11-01,19581.0
1959-12-01,19482.0
1960-01-01,19454.0
1960-02-01,19429.0
1960-03-01,19410.0
1960-04-01,19386.0
1960-05-01,19356.0
1960-06-01,19343.0
1960-07-01,19245.0
1960-08-01,19052.0
1960-09-01,18870.0
1960-10-01,18571.0
1960-11-01,18058.0
1960-12-01,17954.0
1961-01-01,17567.0
1961-02-01,17402.0
1961-03-01,17330.0
1961-04-01,17389.0
1961-05-01,17397.0
1961-06-01,17540.0
1961-07-01,17546.0
1961-08-01,17575.0
1961-09-01,17446.0
1961-10-01,17328.0
1961-11-01,17180.0
1961-12-01,16929.0
1962-01-01,16852.0
1962-02-01,16793.0
1962-03-01,16707.0
1962-04-01,16564.0
1962-05-01,16456.0
1962-06-01,16434.0
1962-07-01,16310.0
1962-08-01,16136.0
1962-09-01,16079.0
1962-10-01,16050.0
1962-11-01,15978.0
1962-12-01,15978.0
1963-01-01,15950.0
1963-02-01,15922.0
1963-03-01,15878.0
1963-04-01,15878.0
1963-05-01,15834.0
1963-06-01,15785.0
1963-07-01,15664.0
1963-08-01,15602.0
1963-09-01,15582.0
1963-10-01,15582.0
1963-11-01,15582.0
1963-12-01,15562.0
1964-01-01,15513.0
1964-02-01,15480.0
1964-03-01,15462.0
1964-04-01,15462.0
1964-05-01,15462.0
1964-06-01,15462.0
1964-07-01,15463.0
1964-08-01,15462.0
1964-09-01,15462.0
1964-10-01,15462.0
1964-11-01,15442.0
1964-12-01,15388.0
1965-01-01,15258.0
1965-02-01,14984.0
1965-03-01,14687.0
1965-04-01,14472.0
1965-05-01,14358.0
1965-06-01,14277.0
1965-07-01,13924.0
1965-08-01,13858.0
1965-09-01,13858.0
1965-10-01,13857.0
1965-11-01,13845.0
1965-12-01,13799.0
1966-01-01,13733.0
1966-02-01,13734.0
1966-03-01,13700.0
1966-04-01,13632.0
1966-05-01,13565.0
1966-06-01,13500.0
1966-07-01,13415.0
1966-08-01,13311.0
1966-09-01,13258.0
1966-10-01,13257.0
1966-11-01,13251.0
1966-12-01,13158.0
1967-01-01,13158.0
1967-02-01,13144.0
1967-03-01,13108.0
1967-04-01,13108.0
1967-05-01,13108.0
1967-06-01,13108.0
1967-07-01,13109.0
1967-08-01,13053.0
1967-09-01,13007.0
1967-10-01,13003.0
1967-11-01,12907.0
1967-12-01,12436.0
1968-01-01,11984.0
1968-02-01,11900.0
1968-03-01,11096.0
1968-04-01,10484.0
1968-05-01,10452.0
1968-06-01,10369.0
1968-07-01,10367.0
1968-08-01,10367.0
1968-09-01,10367.0
1968-10-01,10367.0
1968-11-01,10367.0
1968-12-01,10367.0
1969-01-01,10367.0
1969-02-01,10367.0
1969-03-01,10367.0
1969-04-01,10367.0
1969-05-01,10367.0
1969-06-01,10367.0
1969-07-01,10367.0
1969-08-01,10367.0
1969-09-01,10367.0
1969-10-01,10367.0
1969-11-01,10367.0
1969-12-01,10367.0
1970-01-01,11141.0
1970-02-01,11367.0
1970-03-01,11367.0
1970-04-01,11367.0
1970-05-01,11367.0
1970-06-01,11367.0
1970-07-01,11367.0
1970-08-01,11367.0
1970-09-01,11300.0
1970-10-01,11117.0
1970-11-01,11117.0
1970-12-01,11105.0
